Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
500001,CVE-1999-0012,High,7.0,WIN-SRV-0001,10.20.100.1,win-srv-0001.corp.deloitte.local,Microsoft Windows Server 2019 Datacenter,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file…,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.,See vendor advisory for CVE-1999-0012 and apply the corresponding patch/update.,443,tcp,2026-06-22,2026-08-01
500002,CVE-1999-0288,Medium,5.0,WIN-SRV-0002,10.20.100.2,win-srv-0002.corp.deloitte.local,Microsoft Windows Server 2022 Standard,The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process…,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets.",See vendor advisory for CVE-1999-0288 and apply the corresponding patch/update.,445,tcp,2026-07-28,2026-08-03
500003,CVE-1999-0386,Medium,5.0,WIN-SRV-0003,10.20.100.3,win-srv-0003.corp.deloitte.local,Microsoft Windows Server 2022 Standard,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to…,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.,See vendor advisory for CVE-1999-0386 and apply the corresponding patch/update.,443,tcp,2026-07-28,2026-08-03
500004,CVE-2000-0089,Low,2.1,WIN-SRV-0004,10.20.100.4,win-srv-0004.corp.deloitte.local,Microsoft Windows Server 2016 Standard,The rdisk utility in Microsoft Terminal Server Edition and Windows NT 4.0 stores registry hive information in a…,"The rdisk utility in Microsoft Terminal Server Edition and Windows NT 4.0 stores registry hive information in a temporary file with permissions that allow local users to read it, aka the ""RDISK Registry Enumeration File"" vulnerability.",See vendor advisory for CVE-2000-0089 and apply the corresponding patch/update.,0,tcp,2026-07-19,2026-08-03
500005,CVE-2000-0849,Low,2.6,WIN-SRV-0005,10.20.100.5,win-srv-0005.corp.deloitte.local,Microsoft Windows Server 2016 Standard,Race condition in Microsoft Windows Media server allows remote attackers to cause a denial of service in the Windows…,"Race condition in Microsoft Windows Media server allows remote attackers to cause a denial of service in the Windows Media Unicast Service via a malformed request, aka the ""Unicast Service Race Condition"" vulnerability.",See vendor advisory for CVE-2000-0849 and apply the corresponding patch/update.,445,tcp,2026-07-09,2026-08-02
500006,CVE-2001-0047,High,7.5,WIN-SRV-0006,10.20.100.6,win-srv-0006.corp.deloitte.local,Microsoft Windows Server 2016 Standard,The default permissions for the MTS Package Administration registry key in Windows NT 4.0 allows local users to…,"The default permissions for the MTS Package Administration registry key in Windows NT 4.0 allows local users to install or modify arbitrary Microsoft Transaction Server (MTS) packages and gain privileges, aka one of the ""Registry Permissions"" vulnerabilities.",See vendor advisory for CVE-2001-0047 and apply the corresponding patch/update.,0,tcp,2026-06-14,2026-08-01
500007,CVE-1999-0681,Medium,5.0,WIN-SRV-0007,10.20.100.7,win-srv-0007.corp.deloitte.local,Microsoft Windows Server 2016 Standard,"Buffer overflow in Microsoft FrontPage Server Extensions (PWS) 3.0.2.926 on Windows 95, and possibly other versions,…","Buffer overflow in Microsoft FrontPage Server Extensions (PWS) 3.0.2.926 on Windows 95, and possibly other versions, allows remote attackers to cause a denial of service via a long URL.",See vendor advisory for CVE-1999-0681 and apply the corresponding patch/update.,0,tcp,2026-07-04,2026-08-03
500008,CVE-2001-0245,Medium,5.0,WIN-SRV-0008,10.20.100.8,win-srv-0008.corp.deloitte.local,Microsoft Windows Server 2019 Datacenter,"Microsoft Index Server 2.0 in Windows NT 4.0, and Indexing Service in Windows 2000, allows remote attackers to read…","Microsoft Index Server 2.0 in Windows NT 4.0, and Indexing Service in Windows 2000, allows remote attackers to read server-side include files via a malformed search request, aka a new variant of the ""Malformed Hit-Highlighting"" vulnerability.",See vendor advisory for CVE-2001-0245 and apply the corresponding patch/update.,3389,tcp,2026-07-05,2026-08-02
500009,CVE-2001-0347,High,7.5,WIN-SRV-0009,10.20.100.9,win-srv-0009.corp.deloitte.local,Microsoft Windows Server 2019 Datacenter,Information disclosure vulnerability in Microsoft Windows 2000 telnet service allows remote attackers to determine the…,"Information disclosure vulnerability in Microsoft Windows 2000 telnet service allows remote attackers to determine the existence of user accounts such as Guest, or log in to the server without specifying the domain name, via a malformed userid.",See vendor advisory for CVE-2001-0347 and apply the corresponding patch/update.,3389,tcp,2026-06-15,2026-08-03
500010,CVE-2001-0509,Medium,5.0,WIN-SRV-0010,10.20.100.10,win-srv-0010.corp.deloitte.local,Microsoft Windows Server 2019 Datacenter (Exchange Server),"Vulnerabilities in RPC servers in (1) Microsoft Exchange Server 2000 and earlier, (2) Microsoft SQL Server 2000 and…","Vulnerabilities in RPC servers in (1) Microsoft Exchange Server 2000 and earlier, (2) Microsoft SQL Server 2000 and earlier, (3) Windows NT 4.0, and (4) Windows 2000 allow remote attackers to cause a denial of service via malformed inputs.",See vendor advisory for CVE-2001-0509 and apply the corresponding patch/update.,445,tcp,2026-07-24,2026-08-03
